Type,Name
Cultural/Ethnic,Korea Business Club
Graduate/Professional,Korea Business Club
Cultural/Ethnic,Korea Leadership Group
Graduate/Professional,Korea Leadership Group
Business & Entrepreneurship,Korea Leadership Group
Cultural/Ethnic,Korean Student Association
Academic/Honor Societies,Korean Studies Graduate Fellows
Cultural/Ethnic,Korean Studies Graduate Fellows
Academic/Honor Societies,Korean-American Scientists and Engineers Association
Cultural/Ethnic,Korean-American Scientists and Engineers Association
Science/Technology/Engineering,Korean-American Scientists and Engineers Association
Sport Clubs & Recreation,Kung Fu Club 
Cultural/Ethnic,L.E.G.A.C.Y Multicultural Council
Governance,L.E.G.A.C.Y Multicultural Council
Activism,La Casa
Cultural/Ethnic,La Casa
Activism,La Salud 
Cultural/Ethnic,La Salud 
Graduate/Professional,La Salud 
Health & Wellness,La Salud 
Service/Service Learning,La Salud 
Social Fraternity/Sorority,Lambda Chi Alpha
Activism,"Lambda Theta Alpha Latin Sorority, Inc. - Beta Omicron Chapter"
Academic/Honor Societies,"Lambda Theta Alpha Latin Sorority, Inc. - Beta Omicron Chapter"
Cultural/Ethnic,"Lambda Theta Alpha Latin Sorority, Inc. - Beta Omicron Chapter"
Service/Service Learning,"Lambda Theta Alpha Latin Sorority, Inc. - Beta Omicron Chapter"
Social Fraternity/Sorority,"Lambda Theta Alpha Latin Sorority, Inc. - Beta Omicron Chapter"
Activism,"Lambda Theta Phi, Latin Fraternity Inc. Alpha Omicron Chapter"
Cultural/Ethnic,"Lambda Theta Phi, Latin Fraternity Inc. Alpha Omicron Chapter"
Service/Service Learning,"Lambda Theta Phi, Latin Fraternity Inc. Alpha Omicron Chapter"
Social Fraternity/Sorority,"Lambda Theta Phi, Latin Fraternity Inc. Alpha Omicron Chapter"
Cultural/Ethnic,Latin American Business Student Association
Graduate/Professional,Latin American Business Student Association
Activism,Latin American Native American Medical Association
Cultural/Ethnic,Latin American Native American Medical Association
Graduate/Professional,Latin American Native American Medical Association
Health & Wellness,Latin American Native American Medical Association
Service/Service Learning,Latin American Native American Medical Association
Activism,Latine Media 
Creative & Performing Arts,Latine Media 
Cultural/Ethnic,Latine Media 
Media & Creative Writing,Latine Media 
Cultural/Ethnic,Latinx Law Students Association
Graduate/Professional,Latinx Law Students Association
Activism,LatinX Social Work Coalition 
Cultural/Ethnic,LatinX Social Work Coalition 
Graduate/Professional,LatinX Social Work Coalition 
Health & Wellness,LatinX Social Work Coalition 
Gender/Sexuality,LatinX Social Work Coalition 
Cultural/Ethnic,Latinx Student Psychological Association
Graduate/Professional,Latinx Student Psychological Association
Cultural/Ethnic,Latinx Undergraduate Medical Association
Science/Technology/Engineering,Latinx Undergraduate Medical Association
Health & Wellness,Latinx Undergraduate Medical Association
Service/Service Learning,Latinx Undergraduate Medical Association
Religious/Spiritual,Latter-day Saint Student Association
Religious/Spiritual,Latter‐day Saint Business Association
Service/Service Learning,Latter‐day Saint Business Association
Graduate/Professional,Law and Economics Society
Creative & Performing Arts,Law School Book Club
Graduate/Professional,Law School Book Club
Media & Creative Writing,Law School Book Club
Health & Wellness,Law School Hockey Team
Sport Clubs & Recreation,Law School Hockey Team
Activism,Law School Student Senate
Governance,Law School Student Senate
Graduate/Professional,Law School Student Senate
Academic/Honor Societies,Lawtinx Pre-Law Association @UMich
Cultural/Ethnic,Lawtinx Pre-Law Association @UMich
Cultural/Ethnic,Le Comité Francophone
Academic/Honor Societies,LEAD Scholars
Cultural/Ethnic,LEAD Scholars
Activism,Leading Women of Tomorrow at the University of Michigan Chapter
Governance,Leading Women of Tomorrow at the University of Michigan Chapter
Gender/Sexuality,Leading Women of Tomorrow at the University of Michigan Chapter
Cultural/Ethnic,Lean In at University of Michigan
Graduate/Professional,Lean In at University of Michigan
Gender/Sexuality,Lean In at University of Michigan
Academic/Honor Societies,Learning and Education Technology at the School of Information
Science/Technology/Engineering,Learning and Education Technology at the School of Information
Graduate/Professional,Learning and Education Technology at the School of Information
Creative & Performing Arts,Lebanese Student Association
Cultural/Ethnic,Lebanese Student Association
Service/Service Learning,Lebanese Student Association
Graduate/Professional,Legal Advocates for Children & Youth
Service/Service Learning,Legal Advocates for Children & Youth
Cultural/Ethnic,Legal Alternative Winter Breaks 
Graduate/Professional,Legal Alternative Winter Breaks 
Service/Service Learning,Legal Alternative Winter Breaks 
Environmental,Legal Alternative Winter Breaks 
Gender/Sexuality,Legal Alternative Winter Breaks 
Activism,Lex Vitae: Protect Life at Michigan Law
Science/Technology/Engineering,Lex Vitae: Protect Life at Michigan Law
Activism,LGBTQ+ Michigan
Gender/Sexuality,LGBTQ+ Michigan
Activism,LGBTQ+ Peer-Led Support Group
Health & Wellness,LGBTQ+ Peer-Led Support Group
Gender/Sexuality,LGBTQ+ Peer-Led Support Group
Activism,Liberty in North Korea (LiNK)
Creative & Performing Arts,Liberty in North Korea (LiNK)
Cultural/Ethnic,Liberty in North Korea (LiNK)
Media & Creative Writing,Liberty in North Korea (LiNK)
Service/Service Learning,Liberty in North Korea (LiNK)
Graduate/Professional,LIFEhouse
Health & Wellness,LIFEhouse
Religious/Spiritual,LIFEhouse
Service/Service Learning,LIFEhouse
Health & Wellness,Lifestyle Medicine Interest Group
Activism,LingoMatch
Cultural/Ethnic,LingoMatch
Service/Service Learning,LingoMatch
Cultural/Ethnic,Linguistics Club
Science/Technology/Engineering,Linguistics Club
Service/Service Learning,Lions Club International
Academic/Honor Societies,Literature Review Club
Science/Technology/Engineering,Literature Review Club
Graduate/Professional,Literature Review Club
Creative & Performing Arts,Live in Color
Health & Wellness,Live in Color
Service/Service Learning,Live in Color
Environmental,Live in Color
Religious/Spiritual,Living Grace Ministry
Activism,Lord of Light Lutheran Campus Ministry
Graduate/Professional,Lord of Light Lutheran Campus Ministry
Religious/Spiritual,Lord of Light Lutheran Campus Ministry
Service/Service Learning,Lord of Light Lutheran Campus Ministry
Gender/Sexuality,Lord of Light Lutheran Campus Ministry
Activism,LSA Student Government
Governance,LSA Student Government
Service/Service Learning,LSA Student Government
Academic/Honor Societies,LSA Student Honor Council
Governance,LSA Student Honor Council
Activism,Lucretia
Health & Wellness,Lucretia
Health & Wellness,Lunar Doula Support Network
Service/Service Learning,Lunar Doula Support Network
Gender/Sexuality,Lunar Doula Support Network
Creative & Performing Arts,Léim Irish Dance
Cultural/Ethnic,Léim Irish Dance
Graduate/Professional,M for the People
Creative & Performing Arts,M-agination Films/UAC
Science/Technology/Engineering,M-etrics
Creative & Performing Arts,M-Flicks/UAC
Media & Creative Writing,M-Flicks/UAC
Science/Technology/Engineering,M-Fly
Science/Technology/Engineering,M-HEAL
Health & Wellness,M-HEAL
Service/Service Learning,M-HEAL
Cultural/Ethnic,M-HEAL CSF Global
Science/Technology/Engineering,M-HEAL CSF Global
Health & Wellness,M-HEAL CSF Global
Service/Service Learning,M-HEAL CSF Global
Science/Technology/Engineering,M-HEAL Meeting Elderly Needs by Design
Graduate/Professional,M-HEAL Meeting Elderly Needs by Design
Health & Wellness,M-HEAL Meeting Elderly Needs by Design
Service/Service Learning,M-HEAL Meeting Elderly Needs by Design
Activism,M-HEAL Neonatal Asphyxia Project
Cultural/Ethnic,M-HEAL Neonatal Asphyxia Project
Science/Technology/Engineering,M-HEAL Neonatal Asphyxia Project
Service/Service Learning,M-HEAL Neonatal Asphyxia Project
Science/Technology/Engineering,M-HEAL PeriOperative
Cultural/Ethnic,M-HEAL Project Alivio
Science/Technology/Engineering,M-HEAL Project Alivio
Health & Wellness,M-HEAL Project Alivio
Service/Service Learning,M-HEAL Project Alivio
Science/Technology/Engineering,M-HEAL Project MADITA
Health & Wellness,M-HEAL Project MADITA
Gender/Sexuality,M-HEAL Project MADITA
Academic/Honor Societies,M-HEAL Project MESA
Cultural/Ethnic,M-HEAL Project MESA
Science/Technology/Engineering,M-HEAL Project MESA
Health & Wellness,M-HEAL Project MESA
Science/Technology/Engineering,M-HEAL Solar Fridge
Environmental,M-HEAL Solar Fridge
Academic/Honor Societies,M-HEAL The Initiative: Hybrid Infant Warmer
Science/Technology/Engineering,M-HEAL The Initiative: Hybrid Infant Warmer
Health & Wellness,M-HEAL The Initiative: Hybrid Infant Warmer
Activism,M-Mates
Service/Service Learning,M-Mates
Cultural/Ethnic,M-Pals
Academic/Honor Societies,M-STEM Student Council
Governance,M-STEM Student Council
Service/Service Learning,M-STEM Student Council
Creative & Performing Arts,MA:E Magazine
Cultural/Ethnic,MA:E Magazine
Media & Creative Writing,MA:E Magazine
Governance,MAcc Student Association
Graduate/Professional,MAcc Student Association
Science/Technology/Engineering,MACH
Business & Entrepreneurship,Maize & Blue SPAC Capital
Cultural/Ethnic,Maize & Jew
Religious/Spiritual,Maize & Jew
Service/Service Learning,Maize and Blue Games
Sport Clubs & Recreation,Maize and Blue Games
Graduate/Professional,Maize and Brew
Creative & Performing Arts,Maize Collective
Graduate/Professional,Maize Collective
Media & Creative Writing,Maize Collective
Sport Clubs & Recreation,Maize Futbol Club
Creative & Performing Arts,Maize Mirchi
Cultural/Ethnic,Maize Mirchi
Sport Clubs & Recreation,Maize Rage
Creative & Performing Arts,"Making Masterpieces, an Art Therapy Project at the University of Michigan"
Health & Wellness,"Making Masterpieces, an Art Therapy Project at the University of Michigan"
Cultural/Ethnic,Malaysian Students Association
Cultural/Ethnic,Malt and Blue Scotch Society
Graduate/Professional,Malt and Blue Scotch Society
Science/Technology/Engineering,March of Dimes 
Health & Wellness,March of Dimes 
Service/Service Learning,March of Dimes 
Activism,Markley Multicultural Affairs Council 
Cultural/Ethnic,Markley Multicultural Affairs Council 
Governance,Markley Multicultural Affairs Council 
Governance,Martha Cook Student Organization
Activism,Martin Luther King Jr. Planning Committee
Governance,Mary Markley Hall Council
Media & Creative Writing,MASH Magazine
Governance,Master of Management Student Council
Graduate/Professional,Master of Management Student Council
Governance,Master of Supply Chain Management Student Association
Graduate/Professional,Master of Supply Chain Management Student Association
Academic/Honor Societies,Materials Science & Engineering Graduate Student Council
Science/Technology/Engineering,Materials Science & Engineering Graduate Student Council
Graduate/Professional,Materials Science & Engineering Graduate Student Council
Academic/Honor Societies,Maternal and Child Health Student Association
Cultural/Ethnic,Maternal and Child Health Student Association
Graduate/Professional,Maternal and Child Health Student Association
Health & Wellness,Maternal and Child Health Student Association
Gender/Sexuality,Maternal and Child Health Student Association
Graduate/Professional,MBA Christian Fellowship
Religious/Spiritual,MBA Christian Fellowship
Graduate/Professional,MBA Finance Club at Ross School of Business
Science/Technology/Engineering,MBA FinTech Club at Michigan Ross
Graduate/Professional,MBA FinTech Club at Michigan Ross
Business & Entrepreneurship,MBA FinTech Club at Michigan Ross
Science/Technology/Engineering,MCDB Graduate Student Council
Governance,MCDB Graduate Student Council
Graduate/Professional,MCDB Graduate Student Council
