2018 SOC Code,2018 SOC Major Group,2018 SOC Minor Group,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Media Relations Specialist,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Press Agent,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Press Secretary,x
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Public Affairs Officer,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Public Relations Counselor,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Public Relations Officer,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Public Relations Representative,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Publicist,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Publicity Agent,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Publicity Writer,x
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Advertising Editor,x
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Art Editor,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Book Editor,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Copy Desk Chief,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Copy Editor,x
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Index Editor,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Manuscript Editor,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Newspaper Photo Editor,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Publications Editor,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Rewrite Editor,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Scientific Publications Editor,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Sports Editor,
27-3041,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Editors,Technical Editor,x
27-3042,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Technical Writers,Assembly Instructions Writer,
27-3042,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Technical Writers,Documentation Writer,x
27-3042,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Technical Writers,Engineering Writer,
27-3042,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Technical Writers,Handbook Writer,
27-3042,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Technical Writers,Specifications Writer,x
27-3042,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Technical Writers,Technical Communicator,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Advertising Copy Writer,x
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Advertising Copywriter,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Author,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Biographer,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Copy Writer,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Copywriter,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Lyricist,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Novelist,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Playwright,x
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Poet,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Program Writer,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Radio Script Writer,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Screen Writer,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Short Story Writer,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Song Lyricist,
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Television Writer,x
27-3043,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Writers and Authors,Verse Writer,
27-3091,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Interpreters and Translators,American Sign Language Interpreter,x
27-3091,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Interpreters and Translators,Court Interpreter,x
27-3091,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Interpreters and Translators,Deaf Interpreter,
27-3091,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Interpreters and Translators,Diplomatic Interpreter,x
27-3091,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Interpreters and Translators,Language Translator,
27-3091,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Interpreters and Translators,Translator,
27-3092,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Court Reporters and Simultaneous Captioners,Court Recording Monitor,
27-3092,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Court Reporters and Simultaneous Captioners,Court Stenographer,x
27-3092,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Court Reporters and Simultaneous Captioners,Court Transcriber,x
27-3092,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Court Reporters and Simultaneous Captioners,Deposition Reporter,x
27-3092,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Court Reporters and Simultaneous Captioners,Realtime Captioner,x
27-3092,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Court Reporters and Simultaneous Captioners,Stenocaptioner,
27-3092,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Court Reporters and Simultaneous Captioners,Voice Writing Reporter,
27-3099,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"Media and Communication Workers, All Other",Public Address Announcer,
27-3099,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"Media and Communication Workers, All Other",Stage Technician,x
27-3099,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"Media and Communication Workers, All Other",Train Announcer,
27-3099,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"Media and Communication Workers, All Other",Train Caller,
27-4011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Audio and Video Technicians,Audio-Visual Production Specialist,
27-4011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Audio and Video Technicians,Event AV Operator,
27-4011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Audio and Video Technicians,Video Control Operator,x
27-4011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Audio and Video Technicians,Video Equipment Technician,
27-4011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Audio and Video Technicians,Video Production Assistant,x
27-4012,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast Technicians,Broadcast Engineer,x
27-4012,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast Technicians,Broadcast Maintenance Engineer,
27-4012,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast Technicians,Broadcast Operations Engineer,
27-4012,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast Technicians,Radio Station Audio Engineer,
27-4012,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast Technicians,Radio/Television Technician,
27-4012,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast Technicians,Remote Broadcast Engineer,
27-4012,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Equipment Workers,Broadcast Technicians,Telecasting Engineer,
